,Unnamed: 0,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,X,Y,datetime,day,hour,geometry,SDoT_pop,count_따릉이,학교_초,학교_중,학교_고,학교_대,따릉이_대여소수,pubs,speedbump,busstop,subway,bus,temp,humidity,dust
77,77,경상사고,0,0,2,0,차대사람 - 기타,보행자보호의무위반,-,맑음,단일로 - 기타,개인형이동수단(PM),남,28세,상해없음,보행자,여,26세,경상,206380.50084467,450374.62189923,2021-04-01 17:00:00,3,17,POINT (962213.9999999669 1950477.999999927),29.0,0,2,0,0,1,5,5,28,4,3,65,23.9,13.0,11.0
78,78,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,26세,상해없음,보행자,여,62세,경상,202766.18042113,459937.16490143,2021-04-04 15:00:00,6,15,POINT (958651.9999999698 1960055.9999999218),408.0,0,1,1,0,0,2,5,0,7,1,126,16.8,44.0,0.0
79,79,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,14세,상해없음,보행자,여,53세,경상,202781.36082331,445993.7636476,2021-04-05 14:00:00,0,14,POINT (958592.9999999623 1946117.9999999143),24.0,0,0,0,0,0,1,16,182,5,5,61,17.7,20.0,7.0
80,80,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,20세,상해없음,보행자,남,38세,경상,204814.42069977,445380.32094517,2021-04-05 22:00:00,0,22,POINT (960621.9999999608 1945493.9999999183),17.0,0,0,0,0,0,2,42,58,12,6,74,10.6,56.0,11.0
81,81,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,-,맑음,교차로 - 교차로횡단보도내,개인형이동수단(PM),남,20세,중상,승용,남,68세,상해없음,195371.23444605,444909.98272829,2021-04-06 12:00:00,1,12,POINT (951179.9999999551 1945073.9999999185),110.5,0,0,0,0,0,3,23,0,10,2,125,19.7,24.0,34.0
82,82,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,24세,상해없음,보행자,여,61세,중상,203329.48046017,459547.01208552,2021-04-06 15:00:00,1,15,POINT (959212.9999999757 1959662.9999999278),197.5,0,0,1,0,0,4,4,0,20,0,111,21.7,26.0,44.0
83,83,부상신고사고,0,0,0,1,차대차 - 측면충돌,신호위반,-,맑음,교차로 - 교차로안,개인형이동수단(PM),여,19세,부상신고,승용,남,67세,상해없음,204177.57762439,461093.14011192,2021-04-08 14:00:00,3,14,POINT (960068.9999999662 1961203.9999999274),205.5,0,1,0,0,0,3,34,0,9,3,92,19.4,22.0,20.0
84,84,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,-,맑음,교차로 - 교차로안,개인형이동수단(PM),여,27세,경상,승용,남,30세,상해없음,191980.10247128,457289.69399985,2021-04-09 08:00:00,4,8,POINT (947855.9999999726 1957466.9999999134),29.0,0,1,0,0,0,0,5,77,15,1,80,10.8,48.0,8.0
85,85,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,17세,상해없음,보행자,여,26세,경상,194020.17171412,443129.12419454,2021-04-09 16:00:00,4,16,POINT (949819.9999999587 1943300.999999915),133.75,0,1,1,5,0,0,24,26,10,1,124,20.3,21.0,11.0
86,86,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,-,맑음,단일로 - 기타,개인형이동수단(PM),남,35세,상해없음,보행자,남,34세,경상,204660.58100699,445150.4129965,2021-04-09 20:00:00,4,20,POINT (960466.9999999583 1945264.999999915),26.0,0,0,0,0,0,1,14,24,5,6,71,15.2,34.0,14.0
87,87,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,-,기타,교차로 - 교차로부근,개인형이동수단(PM),남,40세,중상,승용,남,50세,상해없음,204554.95779402,445259.89526151,2021-04-09 20:00:00,4,20,POINT (960361.9999999608 1945374.9999999197),26.0,0,0,0,0,0,1,14,24,5,5,71,15.2,34.0,14.0
88,88,중상사고,0,1,0,1,차대차 - 측면충돌,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),여,20세,부상신고,이륜,남,48세,중상,208571.44576922,444526.93513838,2021-04-09 22:00:00,4,22,POINT (964372.9999999636 1944620.9999999253),25.0,0,0,0,0,0,1,5,18,3,2,34,12.3,42.0,11.0
89,89,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,32세,상해없음,보행자,여,21세,경상,208885.32348241,455671.05711552,2021-04-10 12:00:00,5,12,POINT (964745.9999999651 1955758.999999922),165.0,0,1,1,15,0,2,25,0,11,2,91,15.7,35.0,30.0
90,90,경상사고,0,0,1,0,차대차 - 기타,신호위반,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,38세,경상,승용,남,31세,상해없음,185712.68014674,451286.07364594,2021-04-13 13:00:00,1,13,POINT (941558.9999999555 1951498.9999999069),45.0,0,0,0,0,0,4,13,20,18,2,95,15.4,54.0,10.0
91,91,경상사고,0,0,1,0,차대차 - 기타,기타,-,맑음,교차로 - 교차로부근,개인형이동수단(PM),남,19세,경상,이륜,남,39세,상해없음,193076.74805067,444835.76827581,2021-04-13 17:00:00,1,17,POINT (948885.9999999553 1945011.9999999157),178.5,0,0,1,36,0,3,8,27,11,2,131,14.1,43.0,7.0
92,92,경상사고,0,0,1,0,차대차 - 기타,신호위반,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,19세,경상,승용,남,38세,상해없음,211108.5503578,443757.09866901,2021-04-13 17:00:00,1,17,POINT (966904.9999999634 1943837.9999999278),24.0,0,0,0,0,0,2,10,45,7,5,83,12.3,49.0,6.0
93,93,부상신고사고,0,0,0,1,차대사람 - 보도통행중,기타,-,맑음,기타 - 기타,개인형이동수단(PM),기타불명,미분류,기타불명,보행자,여,17세,부상신고,201447.55705235,454886.16141137,2021-04-13 19:00:00,1,19,POINT (957306.9999999716 1955013.999999918),119.5,0,0,0,0,0,5,112,8,15,4,134,12.0,50.0,16.0
94,94,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),여,19세,상해없음,보행자,여,17세,경상,202976.07256267,444556.23260138,2021-04-13 22:00:00,1,22,POINT (958779.9999999594 1944679.9999999204),13.5,0,0,0,0,0,0,37,113,3,5,115,7.7,57.0,12.0
95,95,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,-,맑음,교차로 - 교차로횡단보도내,개인형이동수단(PM),여,36세,경상,자전거,여,73세,경상,203964.47962909,449634.48437959,2021-04-15 10:00:00,3,10,POINT (959794.9999999625 1949750.9999999262),21.0,0,0,1,37,0,3,46,0,5,3,65,10.7,61.0,40.0
96,96,중상사고,0,1,0,0,차대차 - 측면충돌,불법유턴,-,맑음,단일로 - 기타,개인형이동수단(PM),여,38세,중상,승용,남,63세,상해없음,193455.23997044,450980.13152105,2021-04-15 20:00:00,3,20,POINT (949296.9999999636 1951151.999999909),39.5,0,1,0,0,0,3,152,0,8,4,148,14.4,40.0,26.0
97,97,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,-,맑음,기타 - 기타,개인형이동수단(PM),여,20세,부상신고,승용,여,37세,상해없음,208594.42281379,445474.43559389,2021-04-16 06:00:00,4,6,POINT (964400.9999999623 1945567.9999999218),8.5,0,0,0,0,0,2,13,7,2,6,65,10.4,60.0,25.0
98,98,부상신고사고,0,0,0,1,차량단독 - 전도전복 - 전도,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,29세,부상신고,,,,,202766.0186067,443985.89292782,2021-04-16 16:00:00,4,16,POINT (958566.9999999607 1944110.999999919),60.75,0,1,0,0,0,1,44,81,3,3,129,16.4,49.0,127.0
99,99,중상사고,0,1,0,0,차대차 - 측면충돌,불법유턴,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,47세,중상,승용,여,64세,상해없음,201071.96903653,446317.809951,2021-04-16 22:00:00,4,22,POINT (956885.9999999583 1946450.9999999166),20.0,0,1,1,0,0,2,0,0,4,3,52,9.3,55.0,44.0
100,100,중상사고,0,1,1,1,차대차 - 측면충돌,직진우회전진행방해,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,56세,부상신고,승용,남,57세,상해없음,201855.09474933,445410.61458483,2021-04-16 23:00:00,4,23,POINT (957663.9999999646 1945539.999999918),6.5,0,0,0,0,0,2,118,32,6,5,86,8.4,60.0,32.0
101,101,중상사고,0,1,0,0,차대사람 - 보도통행중,기타,-,맑음,단일로 - 기타,개인형이동수단(PM),남,24세,상해없음,보행자,남,29세,중상,204063.57352958,456203.60309965,2021-04-17 13:00:00,5,13,POINT (959928.9999999657 1956316.999999923),133.5,0,0,0,0,1,0,11,15,10,2,77,13.8,35.0,84.0
102,102,경상사고,0,0,1,0,차대차 - 정면충돌,중앙선침범,-,맑음,단일로 - 기타,개인형이동수단(PM),남,16세,경상,승용,남,38세,상해없음,190376.36982936,446972.2376334,2021-04-17 22:00:00,5,22,POINT (946197.9999999587 1947161.9999999085),107.0,0,0,0,0,0,3,15,21,13,4,94,8.5,50.0,9.0
103,103,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,31세,상해없음,자전거,여,31세,경상,210722.1173367,450020.56316037,2021-04-19 10:00:00,0,10,POINT (966551.9999999657 1950100.9999999304),0.0,0,1,0,0,0,0,7,42,2,1,24,13.3,53.0,35.0
104,104,중상사고,0,1,0,0,차량단독 - 기타,안전운전불이행,-,맑음,교차로 - 교차로횡단보도내,개인형이동수단(PM),남,48세,중상,,,,,215090.16878189,451095.22222584,2021-04-20 00:00:00,1,0,POINT (970923.9999999611 1951151.9999999283),0.0,0,0,1,0,0,0,6,1,8,3,85,10.3,73.0,21.0
105,105,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,23세,상해없음,보행자,남,63세,경상,204452.387751,445171.31550297,2021-04-21 16:00:00,2,16,POINT (960258.9999999595 1945286.9999999243),0.0,0,0,0,0,0,1,14,24,5,5,67,29.3,18.0,75.0
106,106,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,-,맑음,교차로 - 교차로부근,개인형이동수단(PM),남,34세,경상,화물,남,41세,상해없음,191274.71069885,442453.29108711,2021-04-21 20:00:00,2,20,POINT (947071.9999999513 1942639.9999999122),0.0,0,0,0,19,0,3,28,49,6,1,115,23.2,37.0,103.0
107,107,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,맑음,기타 - 기타,개인형이동수단(PM),남,12세,상해없음,보행자,여,31세,경상,202756.24216858,460300.25473306,2021-04-21 21:00:00,2,21,POINT (958643.9999999665 1960418.9999999194),0.0,0,0,0,0,0,1,9,0,8,2,134,24.3,33.0,89.0
108,108,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,맑음,교차로 - 교차로부근,개인형이동수단(PM),남,22세,상해없음,보행자,남,27세,경상,202873.83536757,457005.58532239,2021-04-21 23:00:00,2,23,POINT (958743.9999999658 1957124.9999999197),0.0,0,1,0,0,0,1,89,6,22,1,139,21.2,36.0,113.0
109,109,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,-,맑음,기타 - 기타,개인형이동수단(PM),남,22세,경상,화물,남,34세,상해없음,199928.70694499,442140.10723122,2021-04-22 16:00:00,3,16,POINT (955720.99999996 1942280.999999918),0.0,0,0,0,0,0,2,4,0,12,1,95,27.6,21.0,39.0
110,110,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,-,맑음,기타 - 기타,개인형이동수단(PM),남,27세,상해없음,이륜,남,35세,경상,193098.25714695,450387.00627841,2021-04-22 22:00:00,3,22,POINT (948936.9999999593 1950560.9999999173),0.0,0,0,0,0,0,1,321,0,11,7,159,21.2,32.0,50.0
111,111,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),기타불명,미분류,기타불명,보행자,여,25세,경상,186780.84017207,447945.49903021,2021-04-23 17:00:00,4,17,POINT (942608.9999999558 1948153.9999999027),0.0,0,0,0,0,0,0,2,31,7,2,104,21.7,26.0,11.0
112,112,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,맑음,기타 - 기타,개인형이동수단(PM),남,22세,상해없음,자전거,남,34세,경상,203951.66338361,445458.7694213,2021-04-23 18:00:00,4,18,POINT (959759.9999999563 1945576.9999999164),0.0,0,0,0,0,0,1,31,67,1,7,61,21.9,26.0,7.0
113,113,부상신고사고,0,0,0,1,차량단독 - 전도전복 - 전도,기타,-,흐림,단일로 - 기타,개인형이동수단(PM),남,30세,부상신고,,,,,201749.76713052,446029.29764239,2021-04-24 03:00:00,5,3,POINT (957561.9999999567 1946158.9999999197),0.0,0,0,0,0,0,1,28,22,8,4,57,15.9,49.0,5.0
114,114,중상사고,0,1,0,0,차대사람 - 보도통행중,기타,-,맑음,단일로 - 기타,개인형이동수단(PM),여,38세,상해없음,보행자,남,34세,중상,210975.89540966,445565.12114161,2021-04-24 09:00:00,5,9,POINT (966781.999999958 1945645.999999922),0.0,0,0,1,0,0,5,8,23,7,5,55,16.9,46.0,11.0
115,115,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,33세,상해없음,이륜,남,20세,경상,203356.49714719,444316.15834039,2021-04-24 14:00:00,5,14,POINT (959158.999999956 1944437.9999999222),0.0,0,0,0,0,0,0,10,90,4,3,83,20.8,31.0,8.0
116,116,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,18세,상해없음,보행자,남,28세,경상,201294.65757794,454480.18874526,2021-04-24 16:00:00,5,16,POINT (957151.9999999653 1954608.9999999236),0.0,0,0,0,0,0,3,18,25,8,5,122,24.4,28.0,10.0
117,117,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,15세,상해없음,보행자,여,66세,경상,194878.69255668,449681.20140876,2021-04-24 19:00:00,5,19,POINT (950712.9999999583 1949845.9999999185),0.0,0,1,1,0,0,1,24,0,14,9,117,21.1,32.0,12.0
118,118,경상사고,0,0,2,0,차대사람 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,42세,기타불명,보행자,여,22세,경상,202375.25839691,444665.08469541,2021-04-24 21:00:00,5,21,POINT (958179.9999999584 1944791.9999999178),0.0,0,0,0,0,0,1,90,175,14,5,121,16.9,55.0,10.0
119,119,부상신고사고,0,0,0,1,차대차 - 기타,신호위반,-,맑음,교차로 - 교차로안,개인형이동수단(PM),여,18세,상해없음,자전거,여,54세,부상신고,207364.9863704,445087.75154289,2021-04-25 00:00:00,6,0,POINT (963169.999999955 1945187.9999999194),0.0,0,1,0,0,0,2,42,33,2,3,44,13.6,71.0,10.0
120,120,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,-,맑음,교차로 - 교차로안,개인형이동수단(PM),여,25세,경상,승용,남,36세,경상,203425.85019498,446890.5403849,2021-04-25 22:00:00,6,22,POINT (959241.9999999627 1947010.9999999176),0.0,0,0,0,0,0,0,45,119,5,3,54,17.1,44.0,9.0
121,121,부상신고사고,0,0,0,1,차대차 - 기타,중앙선침범,-,맑음,교차로 - 교차로부근,개인형이동수단(PM),남,33세,부상신고,승용,남,43세,상해없음,197497.76501452,448164.53736627,2021-04-27 18:00:00,1,18,POINT (953322.9999999583 1948315.9999999201),68.75,0,1,0,0,0,3,46,23,4,5,63,18.2,42.0,19.0
122,122,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,36세,상해없음,자전거,여,42세,경상,192188.96732733,450564.23922206,2021-04-27 20:00:00,1,20,POINT (948028.9999999605 1950742.9999999162),356.25,0,0,0,0,0,2,49,0,9,3,136,16.6,45.0,8.0
123,123,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,맑음,기타 - 기타,개인형이동수단(PM),여,40세,상해없음,보행자,남,21세,경상,204573.9104255,451479.45307195,2021-04-28 08:00:00,2,8,POINT (960413.9999999693 1951591.999999921),331.5,0,2,0,0,0,4,4,0,4,4,72,11.7,86.0,42.0
124,124,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,-,맑음,기타 - 기타,개인형이동수단(PM),남,31세,상해없음,보행자,여,51세,중상,192681.72164468,459852.40940034,2021-04-29 00:00:00,3,0,POINT (948570.9999999723 1960024.999999919),179.75,0,0,0,0,0,4,5,4,16,1,42,16.2,54.0,34.0
125,125,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,-,맑음,교차로 - 교차로횡단보도내,개인형이동수단(PM),남,29세,부상신고,승용,여,67세,상해없음,198380.90983251,451211.41409938,2021-04-29 11:00:00,3,11,POINT (954221.9999999629 1951356.9999999194),18.75,0,0,0,0,0,7,13,10,8,6,134,14.0,44.0,24.0
126,126,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,27세,상해없음,보행자,여,54세,경상,204923.95643737,454504.51104032,2021-04-29 19:00:00,3,19,POINT (960779.9999999647 1954613.9999999185),175.5,0,2,0,0,0,0,27,0,6,2,70,16.8,35.0,60.0
127,127,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,25세,상해없음,보행자,남,36세,중상,195321.53647808,449554.50687592,2021-04-30 23:00:00,4,23,POINT (951154.9999999576 1949716.9999999136),225.25,0,0,0,12,0,0,5,0,8,7,122,12.0,77.0,60.0
128,128,부상신고사고,0,0,0,1,차대사람 - 보도통행중,안전운전불이행,-,맑음,기타 - 기타,개인형이동수단(PM),여,20세,상해없음,보행자,여,24세,부상신고,192455.44433099,449929.41368627,2021-05-02 14:00:00,6,14,POINT (948291.9999999634 1950106.9999999092),401.5,0,0,1,0,0,2,86,0,13,4,108,19.2,35.0,4.0
129,129,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,47세,경상,승용,남,46세,상해없음,190435.45110829,443572.2607536,2021-05-03 20:00:00,0,20,POINT (946238.9999999541 1943762.9999999097),163.0625,0,1,0,0,0,4,27,16,13,3,108,20.125,58.0,20.166666666666664
130,130,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,-,맑음,교차로 - 교차로횡단보도내,개인형이동수단(PM),여,27세,부상신고,승용,남,61세,상해없음,203657.4981168,444714.91385621,2021-05-03 21:00:00,0,21,POINT (959461.9999999634 1944834.9999999225),355.625,0,0,0,0,0,1,51,58,7,5,70,20.125,58.0,20.166666666666664
131,131,중상사고,0,2,0,0,차대사람 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,38세,중상,보행자,여,25세,중상,206786.46064262,453232.91652,2021-05-03 22:00:00,0,22,POINT (962634.9999999646 1953332.9999999274),150.8125,0,0,0,0,0,2,0,0,5,0,86,20.125,58.0,20.166666666666664
132,132,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,-,비,단일로 - 기타,개인형이동수단(PM),남,20세,상해없음,보행자,여,5세,경상,204635.78904156,453950.75876327,2021-05-04 09:00:00,1,9,POINT (960488.999999967 1954061.9999999246),570.0000000027867,0,0,0,0,0,2,22,0,9,3,71,20.125,58.0,20.166666666666664
133,133,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,비,교차로 - 교차로부근,개인형이동수단(PM),남,29세,경상,승용,남,33세,상해없음,203656.71742018,447120.85775539,2021-05-04 22:00:00,1,22,POINT (959473.9999999632 1947239.999999921),10.5,0,1,0,8,0,2,223,23,3,3,50,14.0,100.0,5.0
134,134,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,25세,부상신고,승용,남,33세,상해없음,193951.80338684,452038.17787811,2021-05-05 10:00:00,2,10,POINT (949798.9999999609 1952206.9999999187),44.5,0,0,1,0,0,2,19,3,17,0,66,20.125,58.0,20.166666666666664
135,135,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,-,맑음,기타 - 기타,개인형이동수단(PM),남,18세,상해없음,보행자,여,82세,경상,202794.95635904,451527.01119412,2021-05-06 18:00:00,3,18,POINT (958635.9999999638 1951648.99999992),44.0,0,1,0,0,0,1,57,0,8,5,143,20.4,25.0,22.0
136,136,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,-,맑음,교차로 - 교차로횡단보도내,개인형이동수단(PM),남,17세,상해없음,보행자,여,65세,경상,183326.79274606,451661.52496672,2021-05-06 21:00:00,3,21,POINT (939175.9999999526 1951886.9999999003),45.0,0,1,0,0,0,2,23,66,6,7,94,17.8,29.0,21.0
137,137,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,흐림,단일로 - 기타,개인형이동수단(PM),여,27세,상해없음,보행자,여,63세,경상,187707.07541343,450788.49247917,2021-05-06 22:00:00,3,22,POINT (943549.9999999598 1950990.9999999048),36.5,0,0,0,0,0,3,4,64,12,3,83,16.3,37.0,23.0
138,138,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,58세,경상,승용,남,31세,상해없음,186034.07229423,448789.84693598,2021-05-07 15:00:00,4,15,POINT (941866.9999999554 1949001.9999999055),250.5,0,0,0,0,0,1,0,46,5,2,96,18.8,39.0,353.0
139,139,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,맑음,교차로 - 교차로부근,개인형이동수단(PM),남,26세,기타불명,보행자,남,60세,경상,202211.37254085,459860.17906857,2021-05-07 22:00:00,4,22,POINT (958096.9999999735 1959981.9999999206),139.0,0,0,0,0,0,5,90,0,13,3,125,14.0,59.0,635.0
140,140,경상사고,0,0,1,0,차대사람 - 기타,기타,-,맑음,단일로 - 기타,개인형이동수단(PM),여,25세,상해없음,보행자,여,33세,경상,190374.08333312,447402.38877279,2021-05-09 15:00:00,6,15,POINT (946197.9999999581 1947591.9999999146),173.5,0,0,0,0,0,1,11,21,7,4,87,23.3,22.0,3.0
141,141,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,맑음,교차로 - 교차로부근,개인형이동수단(PM),남,49세,상해없음,보행자,여,88세,경상,191617.44167367,453442.29690515,2021-05-09 17:00:00,6,17,POINT (947472.9999999618 1953622.9999999125),103.0,0,0,2,4,0,2,0,36,12,6,78,20.8,20.0,4.0
142,142,경상사고,0,0,1,0,차대차 - 측면충돌,불법유턴,-,맑음,교차로 - 교차로부근,개인형이동수단(PM),여,21세,경상,승용,여,52세,상해없음,193729.91667122,451624.83927269,2021-05-09 18:00:00,6,18,POINT (949574.999999965 1951794.9999999187),48.0,0,1,1,4,0,1,18,0,11,4,86,21.2,22.0,2.0
143,143,중상사고,0,1,0,0,차대사람 - 보도통행중,기타,-,맑음,기타 - 기타,개인형이동수단(PM),여,28세,상해없음,보행자,여,79세,중상,204228.16583393,447078.87747038,2021-05-12 07:00:00,2,7,POINT (960044.999999958 1947194.999999924),-1.3828862937975935e+19,0,0,0,0,0,2,51,177,7,4,58,20.125,58.0,20.166666666666664
144,144,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,-,맑음,기타 - 기타,개인형이동수단(PM),남,40세,상해없음,자전거,남,23세,경상,204833.17611511,460466.3855914,2021-05-12 17:00:00,2,17,POINT (960720.999999969 1960573.9999999288),-1.8446744073709552e+19,0,0,0,0,0,0,0,0,1,2,64,20.125,58.0,20.166666666666664
145,145,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,26세,부상신고,승용,남,36세,상해없음,208373.04249582,457376.01123446,2021-05-12 18:00:00,2,18,POINT (964242.9999999678 1957465.999999929),-1.3835058055282164e+19,0,0,0,0,0,2,2,0,9,3,71,20.125,58.0,20.166666666666664
146,146,부상신고사고,0,0,0,1,차대사람 - 보도통행중,기타,-,맑음,단일로 - 기타,개인형이동수단(PM),남,22세,상해없음,보행자,남,37세,부상신고,193777.02059288,444458.34272934,2021-05-12 22:00:00,2,22,POINT (949583.9999999551 1944630.999999915),-9.217260864076936e+18,0,0,0,0,0,1,11,0,12,2,133,20.125,58.0,20.166666666666664
147,147,부상신고사고,0,0,0,1,차대차 - 기타,직진우회전진행방해,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,28세,부상신고,승용,여,40세,상해없음,203015.64259147,447087.43837472,2021-05-12 22:00:00,2,22,POINT (958832.9999999643 1947209.999999916),-1.3821169152504371e+19,0,0,1,0,0,0,31,97,2,4,56,20.125,58.0,20.166666666666664
148,148,부상신고사고,0,0,0,1,차대차 - 기타,신호위반,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,36세,부상신고,이륜,남,28세,상해없음,195564.14434351,453782.42564343,2021-05-13 13:00:00,3,13,POINT (951419.9999999658 1953941.9999999201),-1.8446744073709552e+19,0,0,0,0,0,2,3,6,12,2,58,20.125,58.0,20.166666666666664
149,149,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,28세,상해없음,보행자,여,42세,경상,192557.48051602,450118.02821601,2021-05-14 18:00:00,4,18,POINT (948394.9999999651 1950294.9999999092),-1.8446744073709552e+19,0,0,0,0,0,3,36,0,10,5,126,20.125,58.0,20.166666666666664
150,150,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,18세,상해없음,보행자,여,4세,경상,207200.63337484,450975.22140465,2021-05-14 20:00:00,4,20,POINT (963036.9999999611 1951073.9999999213),-1.8446744073709552e+19,0,1,0,0,0,1,16,64,4,3,99,20.125,58.0,20.166666666666664
151,151,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,37세,부상신고,화물,남,49세,상해없음,185434.91064905,443695.75586816,2021-05-15 10:00:00,5,10,POINT (941240.9999999574 1943912.9999999064),-1.8446744073709552e+19,0,0,0,0,0,0,2,13,6,3,105,20.125,58.0,20.166666666666664
152,152,경상사고,0,0,1,0,차대차 - 기타,신호위반,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,20세,상해없음,이륜,남,28세,경상,201740.60033257,458092.97824767,2021-05-17 18:00:00,0,18,POINT (957616.999999965 1958217.9999999185),265.0,0,0,0,0,0,0,10,0,8,4,123,17.4,87.0,7.0
153,153,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,31세,부상신고,승용,남,58세,상해없음,206545.83276985,449760.256895,2021-05-19 00:00:00,2,0,POINT (962375.9999999682 1949862.9999999208),6.5,0,0,0,0,0,6,47,11,9,3,68,13.5,68.0,5.0
154,154,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,33세,상해없음,보행자,여,40세,중상,203185.12886409,444749.41882315,2021-05-19 03:00:00,2,3,POINT (958989.999999956 1944871.9999999173),1.0,0,0,0,0,0,0,37,113,3,4,99,13.2,78.0,17.0
